,Semantic Matrix
70,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [-0.0290913 -0.0261328 -0.097957  ...  0.1091334 -0.0213665  0.0802064]
 [ 0.0347614  0.0197085 -0.0788339 ...  0.1272516  0.0265366  0.0577288]
 [-0.0496217  0.0281875 -0.0963071 ...  0.006533   0.0253981 -0.0173235]]"
71,"[[ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 [-5.80830984e-02  5.28912991e-02  1.37910002e-03 ... -6.12469995e-03
   9.99417976e-02  2.83925999e-02]
 ...
 [-1.95744000e-02  5.22915982e-02 -5.08933999e-02 ...  5.45286983e-02
  -2.92217992e-02  4.94952016e-02]
 [-1.23308003e-02 -5.14490018e-03 -7.14337006e-02 ...  4.35405001e-02
   3.35910008e-03  8.84416997e-02]
 [ 5.20685986e-02  6.15000026e-05 -5.51313981e-02 ...  1.51751004e-02
  -4.84488010e-02 -9.74550005e-03]]"
72,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0219065   0.0348716  -0.0359148  ...  0.12875681 -0.0983559
   0.0995481 ]
 ...
 [ 0.0002603   0.0900183  -0.0805689  ...  0.088029   -0.0246183
   0.0596807 ]
 [-0.0410101   0.0599562  -0.0034325  ...  0.0695492  -0.0352543
   0.075305  ]
 [ 0.071215    0.0597854  -0.0996424  ...  0.0718011  -0.0635953
   0.0274016 ]]"
73,"[[ 0.071935   0.0078516 -0.0017837 ... -0.0250209  0.085488   0.0953921]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 ...
 [-0.0217012 -0.111067  -0.1455733 ...  0.0398979 -0.0293842  0.035315 ]
 [ 0.0147286 -0.01766   -0.0857976 ...  0.0489047 -0.072928  -0.0142996]
 [ 0.0058089  0.0912418 -0.0804741 ...  0.0957755 -0.1076766  0.0597889]]"
74,"[[ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 [ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 7.36179994e-03  3.80874984e-02 -3.57952006e-02 ...  9.73346010e-02
  -1.34893004e-02  7.05322996e-02]
 ...
 [ 1.82461999e-02  6.41468018e-02 -4.67558987e-02 ...  2.40550004e-03
   2.80821007e-02  9.35117975e-02]
 [ 5.97691014e-02  1.24647999e-02 -7.43243024e-02 ...  6.00787997e-02
  -5.41948006e-02  2.61684004e-02]
 [-4.52965014e-02  5.18525988e-02 -8.04608986e-02 ...  4.84259985e-03
   1.12299997e-04 -5.60245998e-02]]"
75,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [ 0.0347614  0.0197085 -0.0788339 ...  0.1272516  0.0265366  0.0577288]
 [ 0.0165361 -0.0255887 -0.1255293 ...  0.0724207 -0.0610748  0.0951126]
 [ 0.0109412  0.0206352 -0.0317464 ...  0.1188222  0.1115659  0.0421774]]"
76,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0270985   0.0400995  -0.1083939  ...  0.0264719   0.0410393
   0.0341472 ]
 ...
 [-0.0248256  -0.0297907  -0.1412932  ...  0.0060291   0.0246838
   0.0001773 ]
 [-0.0712524   0.0110669  -0.12916391 ...  0.0566987  -0.0156907
   0.0727684 ]
 [ 0.0581317   0.0677139  -0.0814483  ...  0.0415227  -0.0022857
  -0.0179665 ]]"
77,"[[-0.0067347 -0.0040889 -0.0420115 ...  0.1154514 -0.0416908  0.0400873]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.021883   0.0545617 -0.1015373 ...  0.0090815  0.0939512  0.0233419]
 ...
 [ 0.0363789  0.0242999 -0.0647999 ...  0.012221   0.0052579  0.0332526]
 [ 0.0712529  0.0463144 -0.0279531 ... -0.0570023 -0.0789263  0.049877 ]
 [-0.0093277  0.0792133  0.002296  ...  0.0132022  0.0378846  0.0092559]]"
78,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [ 0.045512   0.0899273 -0.0921207 ... -0.0026389 -0.0124061  0.0567529]
 [ 0.0379424  0.0370735 -0.0839946 ...  0.0587962 -0.0074581 -0.0120923]
 [-0.0410101  0.0599562 -0.0034325 ...  0.0695492 -0.0352543  0.075305 ]]"
79,"[[-0.0285731 -0.0260957 -0.0142866 ...  0.0819207 -0.0043975  0.0219666]
 [ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 [ 0.0617707 -0.0245172 -0.0509449 ...  0.0286565 -0.0286565 -0.0375719]
 ...
 [-0.0487987 -0.0218389 -0.0759091 ...  0.0266586  0.0262067  0.0861508]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [ 0.0776896  0.0568177 -0.0023553 ...  0.1484219 -0.0115955  0.0327572]]"
80,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0501677  0.1036577 -0.0272434 ...  0.0581414 -0.080069   0.0116283]
 ...
 [-0.0226544 -0.039     -0.0980735 ...  0.054772  -0.0814412  0.0691103]
 [ 0.0503439  0.0147416  0.0065364 ... -0.0254501 -0.0923435  0.0648073]
 [ 0.0347614  0.0197085 -0.0788339 ...  0.1272516  0.0265366  0.0577288]]"
81,"[[ 0.0164402   0.0126463  -0.1247766  ... -0.018042    0.0075456
   0.0816107 ]
 [ 0.0178694   0.12812559 -0.1216007  ... -0.0349973  -0.0688082
   0.0560549 ]
 [ 0.0081441   0.0659607  -0.0530378  ...  0.05573     0.0290765
   0.0027764 ]
 ...
 [-0.0248256  -0.0297907  -0.1412932  ...  0.0060291   0.0246838
   0.0001773 ]
 [ 0.1110843   0.1016422  -0.0283265  ...  0.0463777  -0.0270768
   0.033603  ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]]"
82,"[[ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]
 [ 0.0058089  0.0912418 -0.0804741 ...  0.0957755 -0.1076766  0.0597889]
 [-0.0164758  0.0972721 -0.1168417 ...  0.046046  -0.0828827  0.0274837]
 ...
 [-0.0455901  0.0945325 -0.1019074 ... -0.0251416 -0.0221246 -0.031846 ]
 [ 0.0956277  0.0324725  0.0056252 ...  0.0020375 -0.0685247  0.0503708]
 [-0.0116951  0.0391038 -0.0964399 ...  0.1122734  0.0220708  0.026389 ]]"
83,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0058089  0.0912418 -0.0804741 ...  0.0957755 -0.1076766  0.0597889]
 ...
 [ 0.0011049  0.0462037 -0.0788843 ...  0.0232427  0.0111283  0.0402874]
 [ 0.0247037  0.0421906 -0.1154689 ... -0.0087781 -0.0126988  0.1027007]
 [ 0.0244175  0.0271797 -0.1246289 ...  0.0689436  0.0636403  0.1056252]]"
84,"[[-2.40473002e-02  8.89877975e-02 -9.20741037e-02 ...  4.55227010e-02
   7.66426995e-02  3.67782004e-02]
 [-2.30193008e-02  8.44041035e-02 -9.52744037e-02 ...  1.57298595e-01
   3.37296985e-02 -2.02217996e-02]
 [-6.73469994e-03 -4.08890005e-03 -4.20114994e-02 ...  1.15451403e-01
  -4.16908003e-02  4.00873013e-02]
 ...
 [ 1.82461999e-02  6.41468018e-02 -4.67558987e-02 ...  2.40550004e-03
   2.80821007e-02  9.35117975e-02]
 [ 1.70400002e-04  9.93230008e-03  1.60670001e-03 ...  9.09876004e-02
  -5.20373993e-02  1.93971992e-02]
 [ 3.90405990e-02  1.52457999e-02 -1.43053904e-01 ...  1.64141506e-01
  -2.42222995e-02  1.59200004e-04]]"
85,"[[ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 [-0.0248256 -0.0297907 -0.1412932 ...  0.0060291  0.0246838  0.0001773]
 [ 0.0004261  0.0397142 -0.0284032 ...  0.0635929 -0.0160868  0.0563036]
 ...
 [ 0.0515884  0.0279165 -0.0150194 ...  0.0522414  0.1221142  0.0515884]
 [-0.0065596  0.0170476 -0.131044  ...  0.0948735  0.036467   0.0441755]
 [ 0.0165361 -0.0255887 -0.1255293 ...  0.0724207 -0.0610748  0.0951126]]"
86,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 ...
 [ 0.0329269  0.0524298  0.0158303 ...  0.0504035  0.037486  -0.0607882]
 [-0.0455901  0.0945325 -0.1019074 ... -0.0251416 -0.0221246 -0.031846 ]
 [-0.0116951  0.0391038 -0.0964399 ...  0.1122734  0.0220708  0.026389 ]]"
87,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0073618   0.0380875  -0.0357952  ...  0.0973346  -0.0134893
   0.0705323 ]
 ...
 [-0.0005421  -0.0181663  -0.0625396  ...  0.0547966   0.0354391
  -0.0265049 ]
 [-0.0226544  -0.039      -0.0980735  ...  0.054772   -0.0814412
   0.0691103 ]
 [-0.0460942  -0.0074747  -0.12644771 ...  0.0414225   0.0267845
   0.0317676 ]]"
88,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0617707 -0.0245172 -0.0509449 ...  0.0286565 -0.0286565 -0.0375719]
 ...
 [-0.0536503  0.023488  -0.0346545 ... -0.0220762  0.1786631  0.0451792]
 [-0.0536503  0.023488  -0.0346545 ... -0.0220762  0.1786631  0.0451792]
 [ 0.0260365  0.0084838 -0.0459296 ...  0.0912741 -0.0947846  0.0397861]]"
89,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 ...
 [ 0.0509827  0.0462243 -0.0499631 ... -0.0063728 -0.0317792  0.0713758]
 [-0.0114774  0.0351776 -0.0287681 ... -0.0127444  0.0056269 -0.0308549]
 [-0.0226544 -0.039     -0.0980735 ...  0.054772  -0.0814412  0.0691103]]"
90,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 [-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 [ 0.0448424  0.0411364 -0.0885731 ...  0.0392835  0.0058833  0.1000616]]"
91,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0270985   0.0400995  -0.1083939  ...  0.0264719   0.0410393
   0.0341472 ]
 ...
 [ 0.0443811   0.0225892  -0.1047076  ... -0.040129    0.03694
   0.0224563 ]
 [ 0.0379714  -0.0020568  -0.13332181 ... -0.0061879  -0.0006548
   0.0978818 ]
 [ 0.0089882  -0.0506605  -0.1320442  ... -0.0369332   0.0250034
   0.0836716 ]]"
92,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]
 ...
 [ 0.0242196 -0.0316236 -0.10491   ...  0.0128628  0.131514   0.0642511]
 [ 0.0560699 -0.0430436 -0.0656981 ...  0.0352561  0.0645653 -0.0050973]
 [ 0.040834   0.0431842 -0.0289364 ...  0.0458281 -0.0446531  0.033196 ]]"
93,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0058089  0.0912418 -0.0804741 ...  0.0957755 -0.1076766  0.0597889]
 ...
 [ 0.0308517  0.0493176 -0.035806  ...  0.0285997  0.0310769  0.0522452]
 [ 0.0704709  0.0578973 -0.0818749 ...  0.078366   0.0459084  0.0771963]
 [-0.0686982  0.0708317 -0.0413896 ...  0.0622978  0.1019806  0.1011272]]"
94,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0005421 -0.0181663 -0.0625396 ...  0.0547966  0.0354391 -0.0265049]
 ...
 [ 0.0443811  0.0225892 -0.1047076 ... -0.040129   0.03694    0.0224563]
 [-0.0487987 -0.0218389 -0.0759091 ...  0.0266586  0.0262067  0.0861508]
 [-0.0179964  0.0386991 -0.0941769 ...  0.0405935 -0.0025878  0.0484416]]"
95,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [-0.0248256 -0.0297907 -0.1412932 ...  0.0060291  0.0246838  0.0001773]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 [ 0.0073618  0.0380875 -0.0357952 ...  0.0973346 -0.0134893  0.0705323]]"
96,"[[-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [ 0.0693933 -0.0323663 -0.0554111 ...  0.0968399  0.0582593  0.0844113]
 [-0.033489   0.076304  -0.1266081 ...  0.0282607 -0.0088315  0.0124347]
 ...
 [ 0.0543669  0.062824  -0.0764157 ...  0.0652403  0.0386609  0.0483261]
 [-0.0419115  0.027941   0.0319769 ... -0.0030852  0.0151347  0.0062479]
 [-0.040224   0.0354637 -0.0086874 ... -0.0005244  0.0752117 -0.011127 ]]"
97,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [-0.0580831   0.0528913   0.0013791  ... -0.0061247   0.0999418
   0.0283926 ]
 ...
 [ 0.0165361  -0.0255887  -0.1255293  ...  0.0724207  -0.0610748
   0.0951126 ]
 [-0.0101377   0.0479239  -0.073729   ...  0.14844111  0.0425171
   0.0503815 ]
 [-0.0496217   0.0281875  -0.0963071  ...  0.006533    0.0253981
  -0.0173235 ]]"
98,"[[ 0.0164402   0.0126463  -0.1247766  ... -0.018042    0.0075456
   0.0816107 ]
 [-0.0230193   0.0844041  -0.0952744  ...  0.15729859  0.0337297
  -0.0202218 ]
 [-0.0067347  -0.0040889  -0.0420115  ...  0.1154514  -0.0416908
   0.0400873 ]
 ...
 [ 0.0176395   0.0360688  -0.0600268  ...  0.0093463   0.0684516
   0.0597636 ]
 [-0.0411032   0.0293824  -0.0812431  ... -0.0099146   0.0799587
   0.0030506 ]
 [ 0.0515884   0.0279165  -0.0150194  ...  0.0522414   0.1221142
   0.0515884 ]]"
99,"[[ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0633065   0.0065944   0.0099859  ... -0.0326581   0.0108651
  -0.0424556 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 ...
 [ 0.042366    0.0085978  -0.0019314  ...  0.0451904  -0.0850642
   0.0191893 ]
 [ 0.0413845   0.0203625  -0.13849799 ...  0.0478148   0.0501231
   0.0976081 ]
 [-0.1092402   0.0376956   0.0030291  ...  0.0469271   0.0101451
  -0.0079815 ]]"
100,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [-0.0251725 -0.0096432 -0.0866634 ... -0.0008297 -0.0706332  0.0065436]
 ...
 [-0.0179964  0.0386991 -0.0941769 ...  0.0405935 -0.0025878  0.0484416]
 [ 0.0355488  0.021066  -0.0504079 ...  0.0801259 -0.0136365  0.0244516]
 [-0.0120625  0.0123038 -0.0810603 ...  0.0525927 -0.0733402 -0.0194207]]"
101,"[[ 0.0566584 -0.0212469 -0.0546349 ...  0.0381577 -0.0523223 -0.0106234]
 [-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 [-0.0410101  0.0599562 -0.0034325 ...  0.0695492 -0.0352543  0.075305 ]
 ...
 [ 0.0108388 -0.0275068 -0.054285  ... -0.0153018 -0.0524633  0.0768734]
 [-0.0753395  0.0289862 -0.1046926 ...  0.0675121 -0.0118024 -0.0153492]
 [ 0.0147286 -0.01766   -0.0857976 ...  0.0489047 -0.072928  -0.0142996]]"
102,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0290913 -0.0261328 -0.097957  ...  0.1091334 -0.0213665  0.0802064]
 ...
 [ 0.0566992 -0.0113928 -0.0352383 ...  0.0268924 -0.0268924 -0.02623  ]
 [-0.0185754  0.0172855 -0.0877174 ...  0.0361189 -0.0371509  0.0008062]
 [-0.0038669  0.0280539 -0.0837067 ...  0.0112215  0.0285088  0.022898 ]]"
103,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [-0.0500627  0.1436322 -0.0977414 ...  0.0012106 -0.0482747  0.0536386]
 [-0.0411032  0.0293824 -0.0812431 ... -0.0099146  0.0799587  0.0030506]
 [ 0.0105345  0.0609291 -0.1076225 ...  0.0404296  0.0435615  0.0020019]]"
104,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 ...
 [-0.0614674  0.01303   -0.0260599 ...  0.0492872  0.0815789  0.0473044]
 [ 0.020791   0.0272236 -0.091894  ...  0.0480146  0.1167054 -0.0342305]
 [-0.0026408 -0.0304425 -0.092902  ... -0.0098413 -0.0396277 -0.0986756]]"
105,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [ 0.0336468  0.019431   0.0274221 ... -0.0413856  0.1029592 -0.1083427]
 [ 0.0152137  0.0558358  0.0005122 ...  0.1079075 -0.1016338  0.05364  ]
 [ 0.0014323  0.0064492 -0.0988682 ...  0.0758309  0.091669  -0.0326361]]"
