,Semantic Matrix
106,"[[-0.0067347  -0.0040889  -0.0420115  ...  0.1154514  -0.0416908
   0.0400873 ]
 [-0.0230193   0.0844041  -0.0952744  ...  0.15729859  0.0337297
  -0.0202218 ]
 [-0.0240473   0.0889878  -0.0920741  ...  0.0455227   0.0766427
   0.0367782 ]
 ...
 [ 0.0443811   0.0225892  -0.1047076  ... -0.040129    0.03694
   0.0224563 ]
 [ 0.0640179  -0.0462538  -0.0482648  ...  0.0104322   0.0155017
   0.014999  ]
 [-0.0045445   0.0162272  -0.0535585  ...  0.0324543  -0.0395482
  -0.0041455 ]]"
107,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [ 0.0212132  0.1092419 -0.1168634 ...  0.0889178  0.0110512  0.0089553]
 [-0.0054112  0.052832  -0.1024056 ...  0.0702875  0.0202484 -0.0187356]
 [-0.0370127  0.0652477 -0.1732135 ...  0.0380368  0.061444  -0.0016275]]"
108,"[[-2.67453007e-02  3.83258015e-02 -1.30142197e-01 ...  8.43717977e-02
  -6.92069978e-02  2.68830010e-03]
 [-1.23308003e-02 -5.14490018e-03 -7.14337006e-02 ...  4.35405001e-02
   3.35910008e-03  8.84416997e-02]
 [-1.01376995e-02  4.79239002e-02 -7.37290010e-02 ...  1.48441106e-01
   4.25170995e-02  5.03815003e-02]
 ...
 [-2.27780011e-03  2.47481000e-02  1.33910999e-02 ... -2.08493993e-02
  -2.06799004e-02 -2.10830010e-03]
 [ 7.36179994e-03  3.80874984e-02 -3.57952006e-02 ...  9.73346010e-02
  -1.34893004e-02  7.05322996e-02]
 [ 7.49751031e-02 -1.46000002e-05 -6.16642982e-02 ... -5.09339990e-03
  -4.53654006e-02  8.96442011e-02]]"
109,"[[ 6.17706999e-02 -2.45172009e-02 -5.09448983e-02 ...  2.86564995e-02
  -2.86564995e-02 -3.75718996e-02]
 [ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 ...
 [-1.56510004e-03  3.28449011e-02 -7.17462003e-02 ...  5.03154993e-02
  -2.25954000e-02  6.28943965e-02]
 [ 1.13499998e-04 -2.86159990e-03 -6.38594031e-02 ...  5.48226982e-02
   3.13272998e-02  7.68121034e-02]
 [ 2.54442003e-02  2.31560003e-02  4.26510982e-02 ... -9.59191024e-02
   6.81870012e-03  1.07634403e-01]]"
110,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 ...
 [ 0.0260365  0.0084838 -0.0459296 ...  0.0912741 -0.0947846  0.0397861]
 [ 0.0448424  0.0411364 -0.0885731 ...  0.0392835  0.0058833  0.1000616]
 [-0.0259538 -0.0043643 -0.0988716 ...  0.0531435 -0.0519076  0.1031973]]"
111,"[[ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 [ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 2.70984992e-02  4.00995016e-02 -1.08393900e-01 ...  2.64718998e-02
   4.10392992e-02  3.41471992e-02]
 ...
 [ 5.20685986e-02  6.15000026e-05 -5.51313981e-02 ...  1.51751004e-02
  -4.84488010e-02 -9.74550005e-03]
 [ 7.96349999e-03 -5.20785004e-02 -4.32930002e-03 ...  1.71908997e-02
   1.58636998e-02  6.09266981e-02]
 [ 6.17706999e-02 -2.45172009e-02 -5.09448983e-02 ...  2.86564995e-02
  -2.86564995e-02 -3.75718996e-02]]"
112,"[[ 0.02561     0.1187868  -0.107889   ...  0.0504027  -0.0569414
   0.0498578 ]
 [-0.0230193   0.0844041  -0.0952744  ...  0.15729859  0.0337297
  -0.0202218 ]
 [-0.0067347  -0.0040889  -0.0420115  ...  0.1154514  -0.0416908
   0.0400873 ]
 ...
 [-0.0440364   0.0570937  -0.0855126  ... -0.0054726  -0.0117772
  -0.0384039 ]
 [-0.0248256  -0.0297907  -0.1412932  ...  0.0060291   0.0246838
   0.0001773 ]
 [-0.0164758   0.0972721  -0.1168417  ...  0.046046   -0.0828827
   0.0274837 ]]"
113,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [-0.0455825   0.0033373  -0.049164   ...  0.0631643  -0.0657691
   0.056327  ]
 ...
 [-0.14770541  0.0391643  -0.0320308  ... -0.0104904   0.0828046
   0.0369264 ]
 [ 0.01637     0.072989   -0.066381   ...  0.0762931  -0.0071712
   0.0114139 ]
 [ 0.0509827   0.0462243  -0.0499631  ... -0.0063728  -0.0317792
   0.0713758 ]]"
114,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [-0.0248256 -0.0297907 -0.1412932 ...  0.0060291  0.0246838  0.0001773]
 [-0.0052763 -0.0084552 -0.131613  ... -0.0015731  0.0408997  0.0113392]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]]"
115,"[[-0.0067347 -0.0040889 -0.0420115 ...  0.1154514 -0.0416908  0.0400873]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0617707 -0.0245172 -0.0509449 ...  0.0286565 -0.0286565 -0.0375719]
 ...
 [-0.0410101  0.0599562 -0.0034325 ...  0.0695492 -0.0352543  0.075305 ]
 [ 0.0581416  0.000601  -0.1082328 ...  0.0409227 -0.09571    0.011796 ]
 [ 0.0566584 -0.0212469 -0.0546349 ...  0.0381577 -0.0523223 -0.0106234]]"
116,"[[ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0750018   0.000786   -0.0315556  ...  0.0981731  -0.0896363
   0.0780507 ]
 ...
 [ 0.0413845   0.0203625  -0.13849799 ...  0.0478148   0.0501231
   0.0976081 ]
 [-0.0164758   0.0972721  -0.1168417  ...  0.046046   -0.0828827
   0.0274837 ]
 [-0.008616    0.1125535  -0.1051372  ...  0.0244302   0.0183227
   0.0353366 ]]"
117,"[[ 0.0001135 -0.0028616 -0.0638594 ...  0.0548227  0.0313273  0.0768121]
 [ 0.0326234  0.0792717 -0.0429897 ...  0.0792717  0.0283549 -0.0010147]
 [-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 ...
 [ 0.0430909  0.0132885 -0.1026956 ... -0.0102567  0.0583146  0.0039833]
 [ 0.0114162  0.0827042 -0.0705269 ...  0.0362782 -0.0806746  0.017378 ]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]]"
118,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0073618  0.0380875 -0.0357952 ...  0.0973346 -0.0134893  0.0705323]
 ...
 [ 0.0105345  0.0609291 -0.1076225 ...  0.0404296  0.0435615  0.0020019]
 [ 0.0581416  0.000601  -0.1082328 ...  0.0409227 -0.09571    0.011796 ]
 [-0.0370127  0.0652477 -0.1732135 ...  0.0380368  0.061444  -0.0016275]]"
119,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [-0.0079411  0.0551923 -0.030327  ...  0.0451312  0.0057851  0.0227093]
 [-0.0065596  0.0170476 -0.131044  ...  0.0948735  0.036467   0.0441755]
 [-0.0410101  0.0599562 -0.0034325 ...  0.0695492 -0.0352543  0.075305 ]]"
120,"[[-0.0113539   0.0648419  -0.21946479 ...  0.0233641  -0.0051191
  -0.0245454 ]
 [ 0.0292975   0.1284788  -0.1102015  ...  0.0058125  -0.0042837
   0.0607452 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 ...
 [-0.0227036   0.0442996  -0.1002279  ...  0.0045338   0.0600814
   0.0661726 ]
 [ 0.0413845   0.0203625  -0.13849799 ...  0.0478148   0.0501231
   0.0976081 ]
 [ 0.0160501   0.0401976  -0.0474273  ...  0.0815519   0.0276178
  -0.0305097 ]]"
121,"[[ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 [ 6.93875998e-02 -1.49199995e-03 -7.70265982e-02 ... -4.51974012e-02
  -6.49314970e-02  5.76107986e-02]
 ...
 [ 5.20685986e-02  6.15000026e-05 -5.51313981e-02 ...  1.51751004e-02
  -4.84488010e-02 -9.74550005e-03]
 [-2.70294007e-02  4.20457982e-02 -1.27638998e-02 ...  9.96300019e-04
   5.03625013e-02 -5.40009979e-03]
 [-1.56510004e-03  3.28449011e-02 -7.17462003e-02 ...  5.03154993e-02
  -2.25954000e-02  6.28943965e-02]]"
122,"[[ 0.0693933 -0.0323663 -0.0554111 ...  0.0968399  0.0582593  0.0844113]
 [-0.0259538 -0.0043643 -0.0988716 ...  0.0531435 -0.0519076  0.1031973]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 ...
 [ 0.0272972 -0.0160571 -0.0366638 ...  0.0299733  0.0049844  0.0551295]
 [ 0.0531072  0.0617112 -0.1424105 ...  0.0453933 -0.0262569  0.0406463]
 [ 0.0369148  0.0245159 -0.0884828 ...  0.0560767 -0.006763   0.0363512]]"
123,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 ...
 [-0.0501677  0.1036577 -0.0272434 ...  0.0581414 -0.080069   0.0116283]
 [-0.1036354  0.0971948  0.0471336 ...  0.0361553 -0.0048671 -0.0009789]
 [-0.0251725 -0.0096432 -0.0866634 ... -0.0008297 -0.0706332  0.0065436]]"
124,"[[-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 [ 0.0164402  0.0126463 -0.1247766 ... -0.018042   0.0075456  0.0816107]
 [ 0.0164402  0.0126463 -0.1247766 ... -0.018042   0.0075456  0.0816107]
 ...
 [ 0.0720039  0.0068575 -0.1325787 ... -0.0055003  0.0064289  0.0057146]
 [ 0.0423902  0.0199484 -0.090391  ...  0.016208   0.0069352  0.0445721]
 [ 0.0342162  0.0770499 -0.092764  ...  0.0059245  0.00697    0.1201369]]"
125,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [-0.0226544 -0.039     -0.0980735 ...  0.054772  -0.0814412  0.0691103]
 [ 0.094845   0.0091971 -0.0982939 ... -0.034058   0.1115147  0.0194001]
 [ 0.0260365  0.0084838 -0.0459296 ...  0.0912741 -0.0947846  0.0397861]]"
126,"[[-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 [-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 ...
 [-0.0164758  0.0972721 -0.1168417 ...  0.046046  -0.0828827  0.0274837]
 [-0.0248256 -0.0297907 -0.1412932 ...  0.0060291  0.0246838  0.0001773]
 [ 0.0132206 -0.0085934 -0.135379  ...  0.0531468  0.0378109  0.006412 ]]"
127,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [ 0.0297324  0.0428927 -0.070838  ...  0.0789616 -0.0740874  0.0428927]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]
 [ 0.0658281  0.0531999 -0.0674403 ...  0.0604544 -0.0267343  0.0580362]]"
128,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0580831  0.0528913  0.0013791 ... -0.0061247  0.0999418  0.0283926]
 ...
 [ 0.0457967 -0.0356032 -0.1122757 ...  0.1500949 -0.0237847  0.0679564]
 [ 0.0505072  0.0221324 -0.0159608 ...  0.1140668 -0.0465347 -0.0161737]
 [ 0.0673184  0.0134228 -0.0085851 ... -0.0387013 -0.005996   0.0468776]]"
129,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 ...
 [-0.0062986  0.0749969 -0.0612279 ...  0.0966757  0.0108394  0.0216788]
 [-0.0351537  0.1024725  0.0518055 ...  0.0340152  0.063476  -0.0025796]
 [-0.0753395  0.0289862 -0.1046926 ...  0.0675121 -0.0118024 -0.0153492]]"
130,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [-0.0460942  -0.0074747  -0.12644771 ...  0.0414225   0.0267845
   0.0317676 ]
 ...
 [-0.0065596   0.0170476  -0.131044   ...  0.0948735   0.036467
   0.0441755 ]
 [ 0.0287756   0.0250455  -0.0668767  ...  0.005895   -0.0219814
   0.085794  ]
 [ 0.0270985   0.0400995  -0.1083939  ...  0.0264719   0.0410393
   0.0341472 ]]"
131,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0276911  0.0293361 -0.0452379 ...  0.0438671 -0.0674456  0.0127489]
 ...
 [-0.0455825  0.0033373 -0.049164  ...  0.0631643 -0.0657691  0.056327 ]
 [ 0.0147286 -0.01766   -0.0857976 ...  0.0489047 -0.072928  -0.0142996]
 [ 0.0776896  0.0568177 -0.0023553 ...  0.1484219 -0.0115955  0.0327572]]"
132,"[[ 1.71981007e-02 -7.49340001e-03 -5.79820015e-02 ...  1.39550000e-01
  -1.19239897e-01  7.46887028e-02]
 [ 4.05870005e-03  6.71902969e-02 -9.38735008e-02 ...  1.62028298e-01
  -9.06587020e-02  1.84854008e-02]
 [-1.64758004e-02  9.72720981e-02 -1.16841704e-01 ...  4.60460000e-02
  -8.28827024e-02  2.74836998e-02]
 ...
 [ 3.15895006e-02  4.39951010e-02 -3.40195000e-02 ... -5.52496985e-02
   5.85749000e-02  1.40682003e-02]
 [ 4.49299999e-02 -5.53169996e-02 -4.83117998e-02 ...  4.56546992e-02
   2.76584998e-02 -6.47377968e-02]
 [-4.52965014e-02  5.18525988e-02 -8.04608986e-02 ...  4.84259985e-03
   1.12299997e-04 -5.60245998e-02]]"
133,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [ 0.0153993  0.0633671 -0.053809  ...  0.0269045 -0.0288515  0.0256655]
 [-0.0496217  0.0281875 -0.0963071 ...  0.006533   0.0253981 -0.0173235]
 [ 0.0155012  0.1009225  0.0458439 ... -0.0788251 -0.0603556 -0.0219325]]"
134,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0617707 -0.0245172 -0.0509449 ...  0.0286565 -0.0286565 -0.0375719]
 ...
 [-0.0015651  0.0328449 -0.0717462 ...  0.0503155 -0.0225954  0.0628944]
 [-0.0045445  0.0162272 -0.0535585 ...  0.0324543 -0.0395482 -0.0041455]
 [-0.0512562 -0.0170427 -0.1225023 ...  0.1178892 -0.0035239  0.0527939]]"
135,"[[ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [-0.0460942  -0.0074747  -0.12644771 ...  0.0414225   0.0267845
   0.0317676 ]
 ...
 [ 0.0001704   0.0099323   0.0016067  ...  0.0909876  -0.0520374
   0.0193972 ]
 [ 0.110314   -0.0043535  -0.10338    ...  0.0315183  -0.1021193
   0.115357  ]
 [-0.0045445   0.0162272  -0.0535585  ...  0.0324543  -0.0395482
  -0.0041455 ]]"
136,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [ 0.0527869  0.0442405 -0.0232514 ...  0.0092377 -0.1286996  0.0164645]
 [-0.0501677  0.1036577 -0.0272434 ...  0.0581414 -0.080069   0.0116283]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]]"
137,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [-0.0030202  0.072125  -0.0234406 ...  0.0384667 -0.0774142  0.0312542]
 ...
 [ 0.0617707 -0.0245172 -0.0509449 ...  0.0286565 -0.0286565 -0.0375719]
 [ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 [-0.0466425 -0.008323   0.015294  ...  0.0351509  0.0231523  0.0349819]]"
138,"[[-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 ...
 [ 0.0260365  0.0084838 -0.0459296 ...  0.0912741 -0.0947846  0.0397861]
 [-0.0125898  0.0954171  0.0387632 ...  0.0934293  0.0010198  0.0108504]
 [ 0.0212132  0.1092419 -0.1168634 ...  0.0889178  0.0110512  0.0089553]]"
139,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0270985   0.0400995  -0.1083939  ...  0.0264719   0.0410393
   0.0341472 ]
 ...
 [-0.0160542   0.0798371  -0.05901    ...  0.0665309  -0.0289265
   0.0500428 ]
 [ 0.0642663  -0.007854   -0.0958256  ...  0.0725864   0.0205136
   0.0064912 ]
 [-0.14770541  0.0391643  -0.0320308  ... -0.0104904   0.0828046
   0.0369264 ]]"
140,"[[ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 [ 0.0270985   0.0400995  -0.1083939  ...  0.0264719   0.0410393
   0.0341472 ]
 ...
 [-0.0101377   0.0479239  -0.073729   ...  0.14844111  0.0425171
   0.0503815 ]
 [-0.0034696  -0.0388325  -0.0054352  ...  0.1093875   0.0946202
  -0.0642651 ]
 [-0.003417   -0.0191853  -0.0942966  ...  0.0209409   0.0121633
   0.0234488 ]]"
